Tid,Bilmerker,12 - 15 år,16 - 20 år,4 - 7 år,8 - 11 år,Over 20 år,Under 4 år,Gjennomsnittsalder ved vraking (år),Personbilbestand 31. desember,Personbiler vraket mot pant,Personbiler vraket mot pant (prosent av bestanden)
2021,Audi,30096,23230,27302,35723,12423,29778,19.2,158552.0,6390.0,4.0
2021,Bmw,33358,21524,33096,41841,13210,21429,18.7,164458.0,4104.0,2.5
2021,Bmw i,0,0,15935,207,0,9501,3.4,25643.0,41.0,0.2
2021,Chevrolet,1437,2666,449,1236,13639,64,21.9,19491.0,567.0,2.9
2021,Citroen,7839,4426,7424,11999,2218,5080,16.2,38986.0,2531.0,6.5
2021,Ford,38993,13186,27029,44904,18585,15657,17.2,158354.0,7148.0,4.5
2021,Honda,14955,11430,5903,8314,3923,1842,19.1,46367.0,2402.0,5.2
2021,Hyundai,10745,6745,14790,16483,1068,26874,16.1,76705.0,2023.0,2.6
2021,Kia,3908,1663,28986,16714,189,16877,13.8,68337.0,879.0,1.3
2021,Mazda,10196,3872,20317,16761,4720,8344,18.3,64210.0,2868.0,4.5
2021,Mercedes-Benz,26715,26360,35001,31742,24637,20225,20.6,164680.0,5716.0,3.5
2021,Mitsubishi,17101,8208,28384,24709,5556,12916,18.7,96874.0,3224.0,3.3
2021,Nissan,16193,10517,45345,37185,4963,21230,17.7,135433.0,3643.0,2.7
2021,Opel,15250,12854,13551,14075,11765,6808,18.7,74303.0,6950.0,9.4
2021,Peugeot,19911,11743,19744,24262,3249,16337,16.6,95246.0,5892.0,6.2
2021,Renault,2300,3499,12661,3821,1490,6976,17.0,30747.0,1878.0,6.1
2021,Skoda,19012,7025,31395,29179,1304,24215,15.7,112130.0,3002.0,2.7
2021,Subaru,8264,12078,10064,11322,3346,1941,18.9,47015.0,2140.0,4.6
2021,Suzuki,10567,14207,11272,10167,2682,7510,17.5,56405.0,2196.0,3.9
2021,Tesla,11,0,12452,41,0,47504,2.2,60008.0,55.0,0.1
2021,Tesla Motors,0,0,11383,5495,0,3,6.2,16881.0,74.0,0.4
2021,Toyota,70196,63080,65333,68520,30590,42712,18.6,340431.0,12332.0,3.6
2021,Volkswagen,70902,46672,97436,88517,29453,55692,18.1,388672.0,17380.0,4.5
2021,Volvo,40648,33993,44719,54829,30000,33331,19.9,237520.0,6238.0,2.6
